"","Code","Country.Name","notzoo_EID_counts_binom","notzoo_EID_counts_pois","Ad_notzoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"28",90,"Indonesia",1,1,393,24.22042758,3.74e+11,207855486,114.7377612,1.564932863,2702,0.47,57.81,26.18,1790,750,477.43,24399,1998,53,0.25498485,-0.476161273,-0.154006903,2.344204378,2.472011186,1.566004815,-0.267609133,2.687185771,0.044246414,-0.647575672,1799.327057,-1.168439409,0.546985018,1.872248954,-1.243581588
"29",95,"Israel",1,1,6,25.46210721,1.87e+11,6689700,309.1358595,1.805519759,435,1.17,7.08,19.9,526,117,4741.93792,462.532,2003,129,19.28337594,-0.45724516,-0.261006046,-1.148719464,-0.928059151,0.735913215,0.773978279,-0.893150372,1.404987697,-0.685618653,27953.42093,0.302942904,0.847219242,-1.375625863,-1.174297823
"30",96,"Italy",1,1,21,58.68552582,1.26e+12,56564074,192.322852,0.036294637,832,0.67,NA,12.49,484,131,57349.182,1117.12,1983,271,4.766738434,-0.22389477,-0.258079952,-1.071466804,-1.041036172,-0.243542002,0.02998727,-0.266157231,0.587323928,-0.46732925,22275.62322,-0.016479791,-1.360639714,NA,0.67951654
"31",96,"Italy",1,1,22,52.87807979,1.84e+12,56942108,192.5554346,0.045303631,832,0.7,28.3,13.37,484,131,389611.736,9379.88,2000,271,4.759219662,1.249925002,-0.221144334,-1.071466804,-1.041036172,-0.127223434,0.074626731,-0.266157231,0.588951952,-0.349334978,32313.52095,0.548234294,-1.349397172,-0.017062811,0.35547021
"32",97,"Jamaica",1,1,29,44.04432133,8602270265,2315871,213.8385042,1.034797091,2051,0.77,NA,25.01,300,52,5,300,1986,9,3.569901255,-0.478256835,-0.261732585,-1.507392529,-1.53598312,1.411353992,0.178785472,1.659043368,0.737928468,-0.721911601,3714.485939,-1.060696013,-0.114584275,NA,-0.13743958
"33",98,"Japan",1,1,41,14.46090535,3.88e+12,126631000,347.4101509,0.182586374,1668,1.83,68.27,11.9,593,163,184620.9915,1102,1999,316,2.495439505,0.340645853,-0.25814754,-0.894889296,-0.747833904,-0.321528315,1.75604641,1.054160817,1.672898797,0.065679357,30640.20658,0.454096636,-1.178078706,2.541927065,-1.788147537
"34",138,"Nepal",1,1,78,29,8779116603,20130779,140.7746783,2.587735921,1500,1.33,39.74,13.58,870,193,0,10,1991,29,1.286474199,-0.478279013,-0.263028923,-0.729347881,-0.002723553,-0.099465594,1.012055401,0.788833745,0.226498752,-0.721875624,436.1041668,-1.245131879,1.82336577,0.715357609,-0.976888985
"35",139,"Netherlands",1,1,6,61.67061611,3.28e+11,13666335,404.8085012,0.891389955,778,3.3,NA,9.86,447,97,0,2,1975,273,17.6189624,-0.478279013,-0.263064684,-1.259080407,-1.140563547,-0.591175905,3.943379974,-0.351440933,2.074673843,-0.656933838,24000.58245,0.080563316,-0.293545519,NA,0.84607987
"36",139,"Netherlands",1,1,6,57.46741706,6.61e+11,16148929,478.3450533,0.638291666,778,3.9,10.73,10.72,447,97,75985.048,51888,2002,273,16.90514585,-0.141231504,-0.031127478,-1.259080407,-1.140563547,-0.477500941,4.836169184,-0.351440933,2.589412532,-0.589188851,40931.50697,1.033066698,-0.609393015,-1.141942774,0.611547992
"37",149,"Pakistan",1,1,288,46.51826484,95286561042,111670386,144.86092,3.371816359,494,0.73,NA,20.06,658,208,3430.98,59681.414,1989,47,0.347775152,-0.463060187,0.003710102,-0.646577174,-0.572988515,0.757062045,0.119266191,-0.799970031,0.255101489,-0.704276688,853.2840662,-1.221662088,2.801838772,NA,0.000602566
"38",149,"Pakistan",1,1,292,46.92299709,1.31e+11,137234810,178.0235705,3.046138376,494,0.85,6.1,20.26,658,208,1629,968,1996,47,0.342478705,-0.471053245,-0.258746538,-0.646577174,-0.572988515,0.783498083,0.297824033,-0.799970031,0.487232297,-0.697011203,954.5683052,-1.215964018,2.395417315,-1.438368171,0.023185987
"39",152,"Papua New Guinea",1,1,25,1.623018151,6024460986,2917572,6.442547366,2.138679352,3142,0.34,NA,24.5,780,295,8,7,1977,19,4.042862885,-0.478243528,-0.263042334,-0.166507073,-0.244817169,1.343942094,-0.461046795,3.382090007,-0.713794789,-0.722436027,2064.88854,-1.153499398,1.262977182,NA,-2.504481396
"40",152,"Papua New Guinea",1,1,25,1.921123526,7602333502,3764112,8.311866802,2.269406613,3142,0.33,NA,24.91,780,295,0.532,60.564,1989,19,4.042862885,-0.478276654,-0.262802896,-0.166507073,-0.244817169,1.398135973,-0.475926615,3.382090007,-0.70070999,-0.722115027,2019.688442,-1.156042274,1.426114903,NA,-2.487847586
"41",154,"Peru",1,1,27,15.25278406,71523160617,21143799,16.51859297,2.259750365,1738,0.33,NA,19.44,1893,522,8,70587.161,1988,93,3.768836249,-0.478243528,0.052460218,1.086089629,2.74907388,0.675110327,-0.475926615,1.164713764,-0.643264824,-0.709111076,3382.701501,-1.079361609,1.414064637,NA,-1.743961954
"42",154,"Peru",1,1,29,18.0346875,85116030650,26252239,20.50956172,1.667060401,1738,0.33,58.92,19.29,1893,522,166,95054,1999,93,3.54255498,-0.477542686,0.161830189,1.086089629,2.74907388,0.655283298,-0.475926615,1.164713764,-0.615328974,-0.706345764,3242.238906,-1.087263782,0.67443245,1.943314222,-1.588736129
"43",161,"Russian Federation",1,1,193,13.52237194,1.2e+12,147721000,9.012901199,0.586603533,NA,0.22,NA,-3.78,712,326,0,0,1989,77,0.519330284,-0.478279013,-0.263073625,0.004552389,-0.427732345,-2.394113713,-0.639604637,NA,-0.695802913,-0.479535554,8123.421856,-0.812657203,-0.67389589,NA,-1.840516221
"44",161,"Russian Federation",1,1,193,13.35241038,8.61e+11,148458777,9.059999158,-0.053482028,460,0.24,49.37,-4.4,712,326,944,5117,1993,77,0.519330284,-0.474091705,-0.240199965,0.004552389,-0.427732345,-2.476065432,-0.609844997,-0.853667176,-0.695473238,-0.548501171,5799.589741,-0.943391821,-1.472674192,1.331896826,-1.849999808
"45",166,"Saudi Arabia",1,1,35,80.84188883,3.67e+11,21547390,10.02348711,2.527236357,59,0.01,0.45,25.75,471,99,16384.711,79,2000,63,2.923787985,-0.405601215,-0.262720484,-1.248044313,-1.07600525,1.509167333,-0.952080861,-1.486977628,-0.688729047,-0.648999741,17032.22525,-0.311463936,1.747866896,-1.800096788,1.915806654
"46",177,"South Africa",1,1,29,77.53587945,1.4e+11,27199838,22.42194561,2.680995709,495,0.14,NA,17.61,832,325,58,14469.244,1977,154,3.4746297,-0.478021742,-0.198394211,-0.000965658,-0.104940858,0.433220577,-0.758643199,-0.798390703,-0.601942734,-0.695180257,5147.089479,-0.980100313,1.939746922,NA,1.731336544
"47",179,"Spain",1,1,15,61.49287202,5.92e+11,38469512,77.02529233,0.362365565,636,0.36,NA,13.39,550,140,19458.605,662.214,1985,283,7.109341969,-0.391966317,-0.260113441,-1.02180438,-0.863500854,-0.12457983,-0.431287155,-0.575705482,-0.21973206,-0.603226101,15388.80972,-0.40391954,-0.953727891,NA,0.83616203
"48",179,"Spain",1,1,15,61.47084735,7.1e+11,38827764,77.74259971,0.156776198,636,0.43,NA,14.27,550,140,88503.037,88.128,1989,283,7.109341969,-0.085705357,-0.262679681,-1.02180438,-0.863500854,-0.008261262,-0.327128414,-0.575705482,-0.214711076,-0.57922037,18285.8843,-0.240935331,-1.210287851,NA,0.834933089
"49",179,"Spain",1,1,15,59.65130261,9.71e+11,40567864,81.29832465,0.447137015,636,0.52,34.26,13.85,550,140,275257.453,13728.128,2000,283,6.975965015,0.742682759,-0.201707097,-1.02180438,-0.863500854,-0.063776942,-0.193210032,-0.575705482,-0.189821832,-0.526122947,23935.20152,0.076885102,-0.847939542,0.364512862,0.733405362
"50",185,"Sudan",1,1,79,50.86069024,32638028621,20453819,8.60850968,1.097666481,NA,0.09776168,NA,27.3,955,261,7,28525.244,1988,30,1.272644332,-0.478247963,-0.135562053,-0.354120676,0.225920417,1.71404663,-0.821493059,NA,-0.698633559,-0.717021805,1595.693627,-1.17989546,-0.036128038,NA,0.242903055
"51",192,"Thailand",1,2,64,36.60670594,64329225148,43806715,87.6119928,2.152980037,1622,0.46,NA,27.07,987,339,988.64,56,1979,185,3.134816979,-0.473893695,-0.262823297,0.076287002,0.311998147,1.683645186,-0.282488953,0.981511738,-0.14562763,-0.710574599,1468.478637,-1.187052347,1.280823354,NA,-0.552446789
"52",192,"Thailand",1,1,32,38.71479183,75488911384,46727292,93.36714361,2.061012064,1622,0.46,NA,26.07,987,339,2559.3,7694.596,1982,185,3.134816979,-0.466926705,-0.228677774,0.076287002,0.311998147,1.551464994,-0.282488953,0.981511738,-0.105342918,-0.70830429,1615.520784,-1.17878002,1.166054289,NA,-0.434818921
"53",192,"Thailand",1,1,32,41.7506704,1.15e+11,52479181,104.5449412,1.75995234,1622,0.43,NA,26.74,987,339,656.532,43366.064,1988,185,3.134816979,-0.475366829,-0.069221646,0.076287002,0.311998147,1.640025723,-0.327128414,0.981511738,-0.027100946,-0.700266217,2191.345174,-1.146385175,0.790354555,NA,-0.265421685
"54",197,"Tunisia",1,1,55,61.31565396,26713932931,9788067,63.00249099,1.13967609,207,0.24,4.28,20.99,370,95,110,2,1999,18,1.838973926,-0.477791085,-0.263064684,-1.270116502,-1.347688085,0.879989623,-0.609844997,-1.253237112,-0.317888394,-0.718226994,2729.234785,-1.116124472,0.016296773,-1.554889602,0.826273542
"55",205,"United Kingdom",1,1,14,75.72438309,1.34e+12,56333829,232.8517712,0.034821732,1220,0.94,NA,8.29,562,99,51915.368,37482.87989,1981,429,7.384723963,-0.247997584,-0.095520249,-1.248044313,-0.831221705,-0.798698805,0.431742415,0.346621958,0.871016896,-0.451054178,23786.77295,0.068534778,-1.362477788,NA,1.630257904
"56",205,"United Kingdom",1,1,14,75.09610218,1.52e+12,56550268,233.746406,0.226951225,1220,0.95,NA,7.91,562,99,80789.578,9622.672,1985,429,7.384723963,-0.119920011,-0.220059022,-1.248044313,-0.831221705,-0.848927278,0.446622235,0.346621958,0.877279131,-0.414435266,26878.74088,0.242483335,-1.122714732,NA,1.59520082
"57",205,"United Kingdom",1,1,14,74.88116397,1.65e+12,56802050,234.7871285,0.212637261,1220,1,NA,8.17,562,99,67645.89,1997040.531,1987,429,7.384723963,-0.178221577,8.663958763,-1.248044313,-0.831221705,-0.814560428,0.521021336,0.346621958,0.884563945,-0.387988274,29048.24738,0.364535872,-1.140577475,NA,1.583207607
"58",205,"United Kingdom",1,1,14,70.47906419,2.53e+12,59987905,247.9556277,0.568943113,1220,0.96,12.38,9.45,562,99,82084.197,3745.216,2004,429,7.151441611,-0.114177459,-0.246332019,-1.248044313,-0.831221705,-0.645369784,0.461502055,0.346621958,0.976740364,-0.208962482,42175.16848,1.103032859,-0.695934757,-1.036305213,1.337577382
"59",206,"United States",1,1,9,46.96581271,5.91e+12,215973000,23.58051569,0.985986067,715,0.38,NA,8.25,1036,465,13,4,1975,3013,11.24980195,-0.478221349,-0.263055744,0.771560942,0.443804672,-0.803986013,-0.401527515,-0.450938585,-0.593833014,0.478659309,27364.53168,0.269813053,-0.175496736,NA,0.025575031
"60",206,"United States",1,3,27,46.98470132,6.52e+12,220239000,24.0462891,1.005771996,715,0.35,NA,9.08,1036,465,18687.344,31016,1977,3013,11.24980195,-0.395387406,-0.124428048,0.771560942,0.443804672,-0.694276454,-0.446166975,-0.450938585,-0.590572709,0.602756733,29604.20271,0.395812919,-0.150805395,NA,0.026628986
"61",206,"United States",1,1,9,46.74799322,6.88e+12,222585000,24.30243172,1.05957308,715,0.33,NA,8.56,1036,465,65136.24,55576.148,1978,3013,11.24980195,-0.189353652,-0.014640974,0.771560942,0.443804672,-0.763010154,-0.475926615,-0.450938585,-0.58877977,0.675994556,30909.54018,0.469248859,-0.083665717,NA,0.013421047
"62",206,"United States",1,4,36,46.74799322,7.08e+12,227225000,24.80903945,0.959589923,715,0.33,NA,8.92,1036,465,232961.9785,172221.7907,1980,3013,11.24980195,0.555072371,0.506780307,0.771560942,0.443804672,-0.715425285,-0.475926615,-0.450938585,-0.585233635,0.716682236,31158.54329,0.483257327,-0.208437125,NA,0.013421047
"63",206,"United States",1,1,9,47.10130845,7.46e+12,233792000,25.52604226,0.914378513,715,0.33,NA,8.71,1036,465,403227.5948,136317.442,1983,3013,11.24980195,1.31032098,0.346283172,0.771560942,0.443804672,-0.743183125,-0.475926615,-0.450938585,-0.580214782,0.793988828,31908.70517,0.525460086,-0.26485754,NA,0.03313548
"64",206,"United States",1,2,18,47.10130845,8.33e+12,237924000,25.97718518,0.886129041,715,0.32,NA,8.38,1036,465,460683.927,118225.1,1985,3013,11.24980195,1.56518051,0.265408036,0.771560942,0.443804672,-0.786802588,-0.490806436,-0.450938585,-0.577056887,0.970980236,35011.18004,0.699999746,-0.300110742,NA,0.03313548
